industry,contents,year,value
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2014,91.8
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2015,93.1
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2016,92.6
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2017,93.8
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2018,97.1
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2019,102.0
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2020,100.6
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2021,106.5
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2022,115.2
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2023,118.6
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2024,118.9
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2025,118.4
"Professional, scientific and and technical activities",Wages and salaries (NOK million),2010,54646.0
"Professional, scientific and and technical activities",Wages and salaries (NOK million),2011,57678.0
"Professional, scientific and and technical activities",Wages and salaries (NOK million),2012,62539.0
"Professional, scientific and and technical activities",Wages and salaries (NOK million),2013,67576.0
"Professional, scientific and and technical activities",Wages and salaries (NOK million),2014,70819.0
"Professional, scientific and and technical activities",Wages and salaries (NOK million),2015,73376.0
"Professional, scientific and and technical activities",Wages and salaries (NOK million),2016,72593.0
"Professional, scientific and and technical activities",Wages and salaries (NOK million),2017,74575.0
"Professional, scientific and and technical activities",Wages and salaries (NOK million),2018,80293.0
"Professional, scientific and and technical activities",Wages and salaries (NOK million),2019,86456.0
"Professional, scientific and and technical activities",Wages and salaries (NOK million),2020,87199.0
"Professional, scientific and and technical activities",Wages and salaries (NOK million),2021,94124.0
"Professional, scientific and and technical activities",Wages and salaries (NOK million),2022,104093.0
"Professional, scientific and and technical activities",Wages and salaries (NOK million),2023,113803.0
"Professional, scientific and and technical activities",Wages and salaries (NOK million),2024,121600.0
"Professional, scientific and and technical activities",Wages and salaries (NOK million),2025,128929.0
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2010,122.7
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2011,124.3
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2012,127.4
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2013,130.1
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2014,132.2
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2015,133.2
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2016,131.4
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2017,132.7
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2018,138.2
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2019,143.4
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2020,143.0
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2021,145.7
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2022,153.9
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2023,160.4
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2024,162.7
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2025,164.4
