industry,contents,year,value
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2010,122.7
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2011,124.3
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2012,127.4
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2013,130.1
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2014,132.2
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2015,133.2
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2016,131.4
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2017,132.7
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2018,138.2
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2019,143.4
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2020,143.0
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2021,145.7
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2022,153.9
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2023,160.4
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2024,162.7
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2025,164.4
